"train_indices","barrio","cod_barrio","distrito","cod_distrito","longitud","latitud","precio.house.m2","sup.util","ref.hip.zona","dorm","banos","tipo.casa","inter.exter","ascensor","estado","antig","comercial","casco.historico","Ruidos_ext","Mal_olor","Poca_limp","Malas_comunic","Pocas_zonas","Delincuencia","M.30","CO","NO2","Nox","O3","SO2","PM10","Pobl.0_14_div_Poblac.Total","PoblJubilada_div_Poblac.Total","Inmigrantes.porc","ref.hip.zona ","radio","log.precio.house.m2"
"1","Casco Histórico de Vicálvaro","191","vicalvaro","19",-3.623815,40.401993,3688,70,2703,2,2,"piso","exterior","si","buen_estado",4,"0","0",0.35,0.45,0.46,0.18,0.4,0.44,"0",-0.186927647088898,-0.00346780999237247,-0.00366046363057954,0.015470412,-0.328062649134548,-0.262919886483312,18.3740185581727,12.6252676659529,9.04211277658815,"2703",6291.40638914719,8.21283958467648
"2","Goya","42","salamanca","4",-3.67057,40.427594,5500,110,4579,3,2,"piso","exterior","si","buen_estado",30,"1","1",0.37,0.26,0.33,0.01,0.38,0.19,"0",0.385425397519824,-0.553806885639396,-0.56229961263094,-0.261987056,0.499349445678308,-0.204604775872889,10.8508323139206,22.4451037773467,8.57455680888883,"4579",2249.93865332545,8.61250337122056
"3","Aravaca","97","moncloa","9",-3.782001,40.447061,4993,89,3378,3,2,"piso","exterior","si","buen_estado",5,"1","0",0.26,0.12,0.29,0.22,0.21,0.23,"0",-0.271638654088029,-0.00346780999237247,-0.00366046363057954,0.055845137,-0.883350765544574,-0.211227616114894,14.2389070449109,18.7982210841953,8.04302415686803,"3378",8037.54470495249,8.51579221050061
"4","Ventas","151","ciudad_lineal","15",-3.632312,40.421705,2619,70,3098,3,1,"piso","exterior","no","buen_estado",30,"0","0",0.41,0.26,0.47,0.38,0.31,0.41,"0",-0.136573454681607,-0.00346780999237247,-0.00366046363057954,-0.016710701,-0.362992332451541,-0.343878471533979,12.6403244799163,20.7824152819573,13.4305900824284,"3098",5287.39105112012,7.87054784450771
"5","Sol","16","centro","1",-3.707132,40.419234,6000,52,4373,1,1,"atico","exterior","si","buen_estado",2.5,"1","1",0.55,0.41,0.45,0.02,0.68,0.75,"1",0.374366091594367,-0.973335832025074,-0.496429226458311,-0.043144799,0.409857948792931,0.349927299705054,12.6403244799163,20.7824152819573,13.4305900824284,"4373",1062.40612737335,8.69951474821019
"6","Castillejos","63","tetuan","6",-3.699775,40.459307,3790,50,4041,2,1,"atico","exterior","si","buen_estado",30,"0","0",0.43,0.26,0.35,0.02,0.51,0.38,"0",0.0466197822285615,-0.00346780999237247,-0.00366046363057954,0.172074174,0.53634434275091,0.235693651163053,11.1810440577564,19.5566137701235,17.5599075693549,"4041",4508.32579024945,8.24012129807647
"7","San Diego","132","puente_vallecas","13",-3.66742,40.388385,2060,65,2747,3,1,"piso","exterior","no","buen_estado",31.0487326176041,"0","0",0.46,0.35,0.65,0.17,0.59,0.57,"0",-0.392871783264972,-0.00346780999237247,-0.00366046363057954,0.086853955,-0.694539406664396,-0.150060345712904,14.0851619218533,17.5324251570275,15.6513581858227,"2747",4113.79923895094,7.63046126178363
"8","Palomeras Bajas","133","puente_vallecas","13",-3.660743,40.394463,3900,50,2704,3,1,"piso","exterior","no","segunda_mano",40,"0","0",0.37,0.31,0.47,0.21,0.21,0.56,"0",-0.445615392293113,-0.0284182528939247,-0.0411541166040118,0.081956165,-0.564070746120335,-0.306947831073888,14.0851619218533,17.5324251570275,15.6513581858227,"2704",3961.96565709387,8.26873183211774
"9","Hispanoamérica","54","chamartin","5",-3.675699,40.458328,3688,70,4444,3,1,"piso","interior","si","a_reformar",30,"1","1",0.37,0.19,0.32,0.04,0.22,0.22,"0",-0.44033530547417,-0.143280091910535,-0.196738819698256,0.839997427,0.465477738875142,-0.213343461659038,12.6403244799163,20.7824152819573,13.4305900824284,"4444",4661.6637530943,8.21283958467648
"10","Imperial","21","arganzuela","2",-3.720717,40.411143,4800,60,3410,3,1,"piso","exterior","si","buen_estado",25,"1","1",0.39,0.31,0.49,0.22,0.28,0.33,"0",0.0321353723712438,0.192408394344527,0.106176735745902,0.786720917,-0.37316123040159,0.0848648852613317,12.4059736305031,16.4637662379734,12.0677702549483,"3410",2380.08115773814,8.47637119689598
"11","Goya","42","salamanca","4",-3.676904,40.428089,4000,45,4738,2,1,"piso","interior","si","buen_estado",40,"1","1",0.37,0.26,0.33,0.01,0.38,0.19,"0",0.539581981710539,-0.349407385817783,-0.477562984818881,-0.117515097,1.16001732829848,-0.00060333431063507,10.8508323139206,22.4451037773467,8.57455680888883,"4738",1809.03715837446,8.29404964010203
"12","Aluche","104","latina","10",-3.752389,40.394019,3000,100,2998,4,2,"piso","exterior","si","buen_estado",24.1007334793668,"0","0",0.33,0.14,0.35,0.1,0.1,0.43,"0",0.0664757222353977,-0.00346780999237247,-0.00366046363057954,-0.019095163,-0.344949588742819,-0.230726628019011,11.6618606886501,21.8191401950297,13.9478008774786,"2998",5632.83993770566,8.00636756765025
"13","Palos de Moguer","26","arganzuela","2",-3.693638,40.408202,3000,72,3789,3,1,"piso","exterior","no","buen_estado",37.5013338292276,"1","1",0.48,0.44,0.63,0.05,0.53,0.57,"0",1.16310216692741,0.0996458281094225,0.593347700162838,-0.004760555,-0.194270293116569,0.584141397191503,12.4059736305031,16.4637662379734,12.0677702549483,"3789",1204.79007550814,8.00636756765025
